Channel Number	Receive Frequency	Transmit Frequency	Offset Frequency	Offset Direction	Operating Mode	Name	Show Name	Tone Mode	CTCSS	DCS	Comment
146	443.7375	448.737500	5	Plus	FM	N6LXX / SIX-SHOOTERS	N6LXX	Tone	141.3	0	Range is for 50 W mobile.  Part of N6LXX system covering SOCAL, Las Vegas, North Texas, S. Oklahoma, Houston, Beaumont, Port Arthur, ...  http://n6six.50megs.com/index_5.html
147	147.36	147.960000	0.6	Plus	FM		N5VAV	Tone	110.9	0	
148	145.39	144.790000	0.6	Minus	FM		W5QT	Tone	192.8	0	
149	146.86	146.260000	0.6	Minus	FM		KB5ATE	Tone	192.8	0	
150	444.725	449.725000	5	Plus	FM		K5REJ	Tone	192.8	0	
151	444.85	449.850000	5	Plus	FM		KA5WLR	Tone	192.8	0	
152	146.68	146.080000	0.6	Minus	FM		K5REL	Tone	192.8	0	
153	146.8	146.200000	0.6	Minus	FM		KA5WLR	Tone	192.8	0	
154	147.32	147.920000	0.6	Plus	FM		K5REJ	Tone	192.8	0	
155	146.82	146.220000	0.6	Minus	FM		KD5GZW	Tone	192.8	0	
156	146.84	146.240000	0.6	Minus	FM		W5GPO	Tone	192.8	0	
157	145.15	144.550000	0.6	Minus	FM		WX5TWS	None	0	0	
158	444.975	449.975000	5	Plus	FM		N5LEZ	Tone	192.8	0	
159	444.95	449.950000	5	Plus	FM		N5AAJ	Tone	192.8	0	
160	444.8	449.800000	5	Plus	FM		W5GPO	Tone	192.8	0	
161	444.775	449.775000	5	Plus	FM		K5HRO	Tone	173.8	0	
162	444.75	449.750000	5	Plus	FM		KD5INN	Tone	192.8	0	
163	444.675	449.675000	5	Plus	FM		N5AAJ	Tone	192.8	0	
164	444.525	449.525000	5	Plus	FM		WX5TWS	None	0	0	
165	444.325	449.325000	5	Plus	FM		K5WFT	Tone	192.8	0	
166	444.2	449.200000	5	Plus	FM		WB5ALR	None	0	0	
167	444	449.000000	5	Plus	FM		N5WF	Tone	192.8	0	
168	442.525	447.525000	5	Plus	FM		W5DAD	None	0	0	
169	145.27	144.670000	0.6	Minus	FM		WB2NQV	Tone	192.8	0	
170	146.62	146.020000	0.6	Minus	FM		KD5INN	Tone	156.7	0	
171	146.66	146.060000	0.6	Minus	FM		K5WFT	Tone	192.8	0	
172	146.94	146.340000	0.6	Minus	FM		W5US	Tone	192.8	0	
173	147.06	147.660000	0.6	Plus	FM		W5GPO	Tone	156.7	0	
174	147.12	147.720000	0.6	Plus	FM		N5LEZ	Tone	192.8	0	
175	147.14	147.740000	0.6	Plus	FM		N5WF	Tone	192.8	0	
176	444.025	449.025000	5	Plus	FM		W5XBK	Tone	192.8	0	
177	146.88	146.280000	0.6	Minus	FM		W5XBK	Tone	192.8	0	
178	146.7	146.100000	0.6	Minus	FM		W5DAD	Tone	192.8	0	
179	444.5	449.500000	5	Plus	FM		W5DAD	Tone	192.8	0	
180	444.075	449.075000	5	Plus	FM		WX5LAW	Tone	123	0	IRLP Repeater and County EM use
181	145.49	144.890000	0.6	Minus	FM		N5JRF	Tone	192.8	0	
182	147.255	147.855000	0.6	Plus	FM		KB5LLI	Tone	192.8	0	Linked to 147.045 Cyril
183	442.2	447.200000	5	Plus	FM	Lawton Independent Repeater Alliance	WX5LAW	Tone	123	0	
184	147.02	147.620000	0.6	Plus	FM		NC5Z	None	0	0	
185	444.15	449.150000	5	Plus	FM		NC5Z	None	0	0	
186	147.16	147.760000	0.6	Plus	FM		N5LEZ	Tone	192.8	0	
187	443.3	448.300000	5	Plus	FM	Lawton Independent Repeater Alliance	WX5LAW	None	0	0	
188	146.79	146.190000	0.6	Minus	FM	Altus Skywarn Association	N5VX	Tone	100	0	wx5asa.blogspot.comhttp://wx5asa.blogspot.com
189	147.285	147.885000	0.6	Plus	FM	Altus Skywarn Association	N5VX	Tone	100	0	Echolink 473649 IRLP 8115 with weekly net on Echolink U-Node IRLP 9669 wx5asa.blogspot.com
190	146.715	146.115000	0.6	Minus	FM	SWIRA	KB5LLI	None	0	0	Linked to 147.045 Cyril
191	445.9125	445.912500	0		FM		WA5TDT	Tone	85.4	0	Remote Base
192	445.9125	445.912500	0		FM		WA5TDT	Tone	85.4	0	Remote Base
193	445.9125	445.912500	0		FM		WA5TDT	Tone	85.4	0	Remote Base
194	146.96	146.360000	0.6	Minus	FM		N5OX	None	0	0	
195	146.9	146.300000	0.6	Minus	FM	W5TSV	KE5ZR	None	0	0	
196	444.4	449.400000	5	Plus	FM		N5LTZ	Tone	88.5	0	
197	444.575	449.575000	5	Plus	FM		WX5CRI	Tone	88.5	0	
198	147.06	147.660000	0.6	Plus	FM	Northwest Texas ARC	KA5VVS	None	0	0	
199	146.74	146.140000	0.6	Minus	FM		N5ZLU	Tone	88.5	0	
200	441.65	445.650000	4	Plus	FM		N5LUL	None	0	0	
201	146.92	146.320000	0.6	Minus	FM		N5LTZ	None	0	0	
202	444.475	449.475000	5	Plus	FM		W5WX	Tone	88.5	0	Inactive, not currently on the air.
203	444.2	449.200000	5	Plus	FM		N5LTZ	Tone	88.5	0	Open for general use, also ARES/RACES/NWS use.  Power output is low until a replacement PA can acquired.
204	927.1625	902.162500	25	Minus	FM		KA3IDN	Tone	151.4	0	Links to Odessa, Midland, Lubbock, Amarillo, Las Vegas and others - http://www.ohioaprs.net/ar902/
205	444.525	449.525000	5	Plus	FM		WR5FM	Tone	146.2	0	
206	444.05	449.050000	5	Plus	FM		KC5EZO	Tone	88.5	0	EchoLink enabled
207	146.66	146.060000	0.6	Minus	FM		W5WX	Tone	88.5	0	
208	443.65	448.650000	5	Plus	FM		N5LTZ	Tone	88.5	0	
209	52.65	51.500000	1.15	Minus	FM		N5LUL	Tone	127.3	0	http://almostangels.org/6meter/
210	146.94	146.340000	0.6	Minus	FM		W5WX	Tone	88.5	0	
211	444.35	449.350000	5	Plus	FM		N5LTZ	Tone	88.5	0	Future Site
212	147.14	147.740000	0.6	Plus	FM		AD5GJ	Tone	88.5	0	
213	146.85	146.250000	0.6	Minus	FM		N5BOP	Tone	100	0	
214	444.8	449.800000	5	Plus	FM		N5BOP	Tone	77	0	
215	147.28	147.880000	0.6	Plus	FM		NM5ML	Tone	100	0	
216	449.6	444.600000	5	Minus	FM		KC0CVU	Tone	107.2	0	
217	145.15	144.550000	0.6	Minus	FM		KE5CJ	None	0	0	
218	444.1	449.100000	5	Plus	FM		KD0LDY	Tone	199.5	0	Private Repeater
219	447.45	442.450000	5	Minus	FM	Privately Owned	K9ROD	Tone	123	0	Privately Owned but open to all amateur radio operators. Western coverage circle not accurate.
220	448.15	443.150000	5	Minus	FM		KB0TUC	Tone	103.5	0	
221	448.45	443.450000	5	Minus	FM		KB0SRJ	None	0	0	
222	147.075	147.675000	0.6	Plus	FM	MIKE'S REPEATER	N9GDM	Tone	67	0	N9GDM  2 METER WIDE AREA
223	449.65	444.650000	5	Minus	FM		KC0CVU	None	0	0	
224	449.95	444.950000	5	Minus	FM		K5GF	None	0	0	
