RepeaterID,trustee,operator,output_freq,offset,offset_freq,pl,dcs,Club,Descr,lng,lat,City,State,ZIP,range,Notes,Tags,rpt_type,LastUpdate,Country,rxheight,rxgain,txheight,txgain,txpower
"5473","KA5PQK ","",442.125,"+",5,156.7,0,"","",-97.320556,32.725278,"Fort Worth","TX","",35,"",""," ","2010-09-18 16:33:51","USA",0,0,0,0,0
"5474","W5SJZ","",442.2,"+",5,0,0,"","",-97.320556,32.725278,"Fort Worth","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5475","KM5R","",442.225,"+",5,0,0,"","",-97.320556,32.725278,"Fort Worth","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5476","N5AUX","",442.375,"+",5,100,0,"","",-97.320556,32.725278,"Fort Worth","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5477","W5DFW","",442.975,"+",5,110.9,0,"","",-97.320556,32.725278,"Fort Worth","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5478","WD5GIC","",443.05,"+",5,88.5,0,"","",-97.320556,32.725278,"Fort Worth","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5479","N5PMB","",443.15,"+",5,110.9,0,"","",-97.320556,32.725278,"Fort Worth","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5481","K5MOT","",444.3,"+",5,110.9,0,"","",-97.320556,32.725278,"Fort Worth","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"12730","W5URH","",146.8,"-",-0.6,110.9,0,"","",-97.320556,32.725278,"Fort Worth","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"12728","W5URH","",146.68,"-",-0.6,110.9,0,"","",-97.320556,32.725278,"Fort Worth","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"12726","KD5HOG","",145.25,"-",-0.6,110.9,0,"","",-97.320556,32.725278,"Fort Worth","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"12725","K5FTW","",145.11,"-",-0.6,110.9,0,"","",-97.320556,32.725278,"Fort Worth","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"26371","KA5GFH","KAFGFH / KA5PQK",442.125,"+",447.125,156.7,0,"","WRG Link System",-97.3208496,32.725409,"Fort Worth","TX","",30,"","","L","2010-09-18 16:11:47","USA",600,9,600,9,30
"12733","W5SJZ","",147.28,"+",0.6,0,0,"","",-97.4301921129882,32.7345664682342,"Fort Worth","TX","",30,"",""," ","2012-04-18 22:37:34","USA",0,0,0,0,0
"12546","K5SLD","",147.14,"+",0.6,0,0,"","",-97.107778,32.735556,"Arlington","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"12545","WD5DBB","WD5DBB",146.86,"-",-0.6,110.9,0,"","",-97.107778,32.735556,"Arlington","TX","",30,"",""," ","2010-01-04 08:57:20","USA",420,9,420,9,100
"5276","WD5DBB","WD5DBB",443.4,"+",5,110.9,0,"","",-97.107778,32.735556,"Arlington","TX","",20,"",""," ","2010-01-02 03:39:55","USA",150,9,150,9,100
"19365","N4MSE","",443.45,"+",5,127.3,0,"","",-97.33,32.75,"Fort Worth","TX","76101",60,"",""," ","2010-11-03 13:04:32","US",900,0,900,0,0
"15975","N5UA","N5UA",442.975,"+",5,110.9,0,"N5UA","DFW Remote Base Association",-97.2621817591,32.7577936175,"Fort Worth","Texas","",30,"",""," ","2010-01-05 16:06:32","USA",300,9,300,9,110
