Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
95,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,
97,APRS,144.39,,0,Tone,0,0,23,NN,FM,5,,,,,
98,HAM 42,146.42,,0,Tone,0,0,23,NN,FM,5,,,,,
99,HAM 52,146.52,,0,Tone,0,0,23,NN,FM,5,,,,,
100,HAM 55,146.55,,0,Tone,0,0,23,NN,FM,5,,,,,
101,HAMUHF,446,,0,Tone,0,0,23,NN,FM,5,,,,,
102,HAM U3,446.03,,0,Tone,0,0,23,NN,FM,5,,,,,
103,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,
